1942 Game                                                                        missing
1943 Game                                                                        missing
3-D WorldRunner                                                                  15
720 Degrees                                                                      9
8 Eyes                                                                           7
Addams Family                                                                    21
Adventure Island 3                                                               15
Adventure Island 2                                                               9
Adventure Island, Hudson's                                                       11
Adventures in the Magic Kingdom                                                  24
Adventures of Bayou Billy                                                        12
Adventures of Dino-Riki                                                          16
Adventures of Lolo                                                               3
Adventures of Lolo 2                                                             13
Adventures of Lolo 3                                                             1
Adventures of Rocky and Bullwinkle                                               8
Adventures of Tom Sawyer                                                         18
Air Fortress                                                                     14
Airwolf                                                                          9
Alfred Chicken                                                                   10
Alien Syndrome                                                                   17
Alpha Mission                                                                    12
Amagon                                                                           9
American Gladiators                                                              27
Anticipation                                                                     3
Arch Rivals                                                                      4
Archon                                                                           2
Arkanoid                                                                         12
Arkista's Ring                                                                   10
Astyanax                                                                         10
Athena                                                                           8
Back to the Future                                                               7
Back to the Future 2 and 3                                                       8
Bad Dudes                                                                        7
Bad Street Brawler                                                               8
Balloon Fight                                                                    9
Barbie                                                                           5
Baseball Simulator 1000                                                          10
Baseball Stars 2                                                                 25
Bases Loaded 2                                                                   7
Bases Loaded 3                                                                   10
Bases Loaded 4                                                                   9
Batman                                                                           8
Batman Returns                                                                   10
Batman: Return of the Joker                                                      15
Battle of Olympus                                                                6
Battleship                                                                       11
Battletank                                                                       12
Battletoads                                                                      20
Battletoads and Double Dragon: The Ultimate Team                                 11
Bee 52                                                                           7
Beetlejuice                                                                      6
Best of the Best Championship Karate                                             29
Bigfoot                                                                          12
Bignose The Caveman                                                              9
Bill and Ted's Excellent Video Game Adventure                                    8
Bill Elliott's NASCAR Challenge                                                  3
Bionic Commando                                                                  12
Blades of Steel                                                                  4
Blaster Master                                                                   10
Blue Marlin, The                                                                 6
Bomberman 2                                                                      19
Bomberman                                                                        22
Bonk's Adventure                                                                 9
Boulderdash                                                                      10
Boy and His Blob, A                                                              22
Bram Stoker's Dracula                                                            6
BreakTime                                                                        4
Breakthru                                                                        13
Bubble Bobble                                                                    14
Bubble Bobble 2                                                                  23
Bucky O'Hare                                                                     13
Bugs Bunny Birthday Blow Out, The                                                7
Bugs Bunny Crazy Castle                                                          11
Bump'n'Jump                                                                      8
Burai Fighter                                                                    14
Burgertime                                                                       10
Cabal                                                                            10
Captain America and the Avengers                                                 9
Captain Planet and the Planeteers                                                9
Captain Skyhawk                                                                  11
Casino Kid 2                                                                     8
Castelian                                                                        7
Castle of Dragon                                                                 10
Castlequest                                                                      10
Castlevania                                                                      9
Castlevania 2: Simon's Quest                                                     8
Championship Pool                                                                6
Chip 'N Dale Rescue Rangers                                                      10
Chip 'N Dale Rescue Rangers 2                                                    16
Chubby Cherub                                                                    12
Circus Caper                                                                     8
City Connection                                                                  10
Clash at Demonhead                                                               8
Cliffhanger                                                                      18
Clu Clu Land                                                                     10
Cobra Command                                                                    4
Cobra Triangle                                                                   6
Code Name: Viper                                                                 15
Commando                                                                         6
Conquest of the Crystal Palace                                                   7
Contra Force                                                                     4
Contra                                                                           7
Cool World                                                                       13
Crystalis                                                                        9
Cyberball                                                                        10
Cybernoid                                                                        15
Danny Sullivan's Indy Heat                                                       5
Darkwing Duck                                                                    7
Dash Galaxy in the Alien Asylum                                                  18
Days of Thunder                                                                  6
Deadly Towers                                                                    5
Defender 2                                                                       6
Defender of the Crown                                                            8
Demon Sword                                                                      19
Destination Earthstar                                                            5
Destiny of an Emperor                                                            11
Dick Tracy                                                                       8
Die Hard                                                                         25
Dig Dug 2: Trouble in Paradise                                                   7
Digger T. Rock: Legend of the Lost City                                          7
Dirty Harry                                                                      7
Donkey Kong 3                                                                    9
Donkey Kong Classics                                                             14
Donkey Kong                                                                      3
Double Dragon                                                                    8
Double Dragon 2: The Revenge                                                     8
Double Dragon 3: The Sacred Stones                                               11
Dr. Chaos                                                                        10
Dr. Jekyll and Mr. Hyde                                                          4
Dr. Mario                                                                        9
Dragon Power                                                                     3
Dragon Strike                                                                    12
Dragon Warrior                                                                   5
Dragon Warrior 2                                                                 21
Dragon Warrior 3                                                                 43
Dragon Warrior 4                                                                 109
Dragon's Lair                                                                    13
Duck Tales                                                                       8
Duck Tales 2                                                                     12
Dungeon Magic                                                                    7
Dynowarz: The Destruction of Spondylus                                           10
Elevator Action                                                                  13
Eliminator Boat Duel                                                             5
Excitebike                                                                       7
F-15 City War                                                                    6
Fantastic Adventures of Dizzy, The                                               8
Fantasy Zone                                                                     13
Faria                                                                            7
Faxanadu                                                                         9
Felix the Cat                                                                    9
Final Fantasy                                                                    36
Firehawk                                                                         4
Fist of the North Star                                                           12
Flight of the Intruder                                                           8
Flintstones: Rescue of Dino and Hoppy                                            14
Flintstones: Surprise at Dinosaur Peak                                           24
Flying Dragon: The Secret Scroll                                                 6
Formula One: Built to Win                                                        5
Peter Pan and the Pirates                                                        10
Frankenstein: The Monster Returns                                                5
Freedom Force                                                                    10
Friday the 13th                                                                  8
Fun House                                                                        14
G.I. Joe                                                                         20
G.I. Joe: The Atlantis Factor                                                    8
Galaga: Demons of Death                                                          9
Galaxy 5000                                                                      6
Gauntlet 2                                                                       12
Ghostbusters                                                                     7
Ghostbusters 2                                                                   10
Ghosts 'n Goblins                                                                8
Gilligan's Island                                                                12
Goal Two                                                                         8
Godzilla                                                                         missing
Gold Medal Challenge                                                             1
Golf Grand Slam                                                                  3
Golgo 13: The Mafat Conspiracy                                                   9
Golgo 13: Top Secret Episode                                                     6
Goonies 2                                                                        13
Gotcha! The Sport!                                                               4
Gradius                                                                          7
Great Waldo Search, The                                                          7
Gremlins 2: The New Batch                                                        9
Guardian Legend, The                                                             10
Guerrilla War                                                                    4
Gumshoe                                                                          11
Gyromite                                                                         5
Gyruss                                                                           11
Harlem Globetrotters                                                             4
Heavy Barrel                                                                     8
Heavy Shreddin'                                                                  7
Hillsfar                                                                         7
Hogan's Alley                                                                    4
Home Alone 2                                                                     23
Hook                                                                             9
Hudson Hawk                                                                      13
Hunt for Red October, The                                                        20
Hydlide                                                                          5
Ice Climber                                                                      9
Ikari Warriors 3: The Rescue                                                     9
Ikari Warriors                                                                   10
Ikari Warriors 2: Victory Road                                                   3
Imagefight                                                                       16
Immortal, The                                                                    7
Indiana Jones and the Last Crusade                                               27
Indiana Jones and the Temple of Doom                                             12
Infiltrator                                                                      11
Iron Tank                                                                        5
Isolated Warrior                                                                 13
Jackal                                                                           5
Jackie Chan's Action Kung Fu                                                     10
James Bond Jr.                                                                   9
Jaws                                                                             6
Jetsons: Cogswell's Caper, The                                                   12
Jimmy Connors Tennis                                                             16
Joe and Mac                                                                      21
Journey to Silius                                                                18
Joust                                                                            6
Jungle Book, The                                                                 17
Jurassic Park                                                                    7
Kabuki: Quantum Fighter                                                          14
Karate Kid, The                                                                  15
Karnov                                                                           15
Kickle Cubicle                                                                   7
Kickmaster                                                                       14
Kid Icarus                                                                       3
