1942(tm) Game	'42	1942	1942
1943(tm) Game	'43	1943 - The Battle of Midway	1943 - The Battle of Midway
3D Worldrunner(tm) Game	3D	3-D Battles of World Runner, The	3-D Battles of World Runner, The
720 Degrees(tm) Game	720	720	720
8 Eyes(tm) Game	EYE	8 Eyes	8 Eyes
A Boy and His Blob(tm) Game	BLOB	Boy and His Blob, A - Trouble on Blobolonia	Boy and His Blob, A - Trouble on Blobolonia
A Nightmare on Elm Street(tm) Game	ELM	Nightmare on Elm Street, A	Nightmare on Elm Street, A
Addams Family(tm) Game	SPOOKY	Addams Family, The	Addams Family, The
Adventure Island 3(tm) Game	ISL3	Hudson's Adventure Island III	Hudson's Adventure Island III
Adventure Island II(tm) Game	ISL2	Hudson's Adventure Island II	Hudson's Adventure Island II
Adventures In The Magic Kingdom(tm) Game	MAGIC	Adventures in the Magic Kingdom	Adventures in the Magic Kingdom
Adventures of Dino-Riki(tm) Game	DINO	Adventures of Dino Riki, The	Adventures of Dino Riki, The
Adventures of Lolo 2(tm) Game	LOLO	Adventures of Lolo 2	Adventures of Lolo 2
Adventures of Lolo 3(tm)	LOLO3	Adventures of Lolo 3	Adventures of Lolo 3
Adventures of Lolo(tm) Game	LOL	Adventures of Lolo	Adventures of Lolo
Adventures of Tom Sawyer(tm) Game	TOM	Adventures of Tom Sawyer	Adventures of Tom Sawyer
Air Fortress(tm) Game	FORT	Air Fortress	Air Fortress
Airwolf(tm) Game	WOLF	Airwolf (UE)	Airwolf (UE)
Alfred Chicken(tm) Game	CHICK9	Alfred Chicken	Alfred Chicken
Alien Syndrome(tm) Game	SYND	Alien Syndrome	Alien Syndrome
Alpha Mission(tm) Game	ALFA	Alpha Mission	Alpha Mission
Amagon(tm) Game	AMA	Amagon	Amagon
American Gladiators(tm) Game	GLAD	American Gladiators	American Gladiators
Anticipation(tm) Game	ANTI	Anticipation	Anticipation
Arch Rivals(tm) Game	ARCH	Arch Rivals - A BasketBrawl!	Arch Rivals - A BasketBrawl!
Archon(tm) Game	ARC	Archon	Archon
Arkanoid(tm) Game	ARK	Arkanoid	Arkanoid
Arkista's Ring(tm) Game	RING	Arkista's Ring	Arkista's Ring
Astyanax(tm) Game	ASTY	Astyanax	Astyanax
Athena(tm) Game	ATH	Athena	Athena
Back to the Future II & III(tm) Game	FUTURE	Back to the Future Part II & III	Back to the Future Part II & III
Back to the Future(tm) Game	BACK	Back to the Future	Back to the Future
Bad Dudes(tm) Game	BAD	Bad Dudes	Bad Dudes
Bad Street Brawler(tm) Game	BRAW	Bad Street Brawler	Bad Street Brawler
Balloon Fight(tm) Game	LOON	Balloon Fight	Balloon Fight
Barbie(tm) Game	BARB	Barbie	Barbie
Baseball Simulator 1000(tm) Game		Baseball Simulator 1.000	Baseball Simulator 1.000
Baseball Stars II(tm) Game	STARS2	Baseball Stars II	Baseball Stars II
Bases Loaded 2(tm) Game		Bases Loaded II	Bases Loaded II
Bases Loaded 3(tm) Game		Bases Loaded 3	Bases Loaded 3
Bases Loaded 4(tm) Game	BL4	Bases Loaded 4	Bases Loaded 4
Batman Returns(tm) Game	BAT	Batman Returns	Batman Returns
Batman(tm) Game	BAT	Batman	Batman
Batman: Return of the Joker(tm) Game	JOKE	Batman - Return of the Joker	Batman - Return of the Joker
Battle of Olympus(tm) Game	OLY	Battle of Olympus, The	Battle of Olympus, The
Battleship(tm) Game	WAR 	Battleship	Battleship
Battletank(tm) Game	BANK	Battle Tank	Battle Tank
Battletoads and Double Dragon(tm) Game	BATT	Battletoads & Double Dragon - The Ultimate Team	Battletoads & Double Dragon - The Ultimate Team
Battletoads(tm) Game	TOAD	Battletoads	Battletoads
Bee 52(tm) Game	B-52	Bee 52	Bee 52
Beetlejuice(tm) Game	BEET	Beetlejuice	Beetlejuice
Best of the Best Championship Karate(tm) Game	BEST	Best of the Best - Championship Karate	Best of the Best - Championship Karate
Bigfoot(tm) Game	FOOT	Bigfoot	Bigfoot
Bignose The Caveman(tm) Game	BIG	Big Nose the Caveman	Big Nose the Caveman
Bill & Ted's Excellent Video Game Adventure(tm) Game	EXX	Bill & Ted's Excellent Video Game Adventure	Bill & Ted's Excellent Video Game Adventure
Bill Elliott's NASCAR Challenge(tm) Game	ELL	Bill Elliott's NASCAR Challenge	Bill Elliott's NASCAR Challenge
Bionic Commando(tm) Game	BIO	Bionic Commando	Bionic Commando
Blades of Steel(tm) Game	STEEL	Blades of Steel	Blades of Steel
Blaster Master(tm) Game	MAST	Blaster Master	Blaster Master
Bomberman 2(tm) Game	BOMB	Bomberman II	Bomberman II
Bomberman(tm) Game	BOMB	Bomberman	Bomberman
Bonk's Adventure(tm) Game	BONK	Bonk's Adventure	Bonk's Adventure
Boulderdash(tm) Game	DASH	Boulder Dash	Boulder Dash
