1942 Game                                                                        7
1943 Game                                                                        7
3D Worldrunner Game                                                              15
720 Degrees Game                                                                 9
8 Eyes Game                                                                      7
Addams Family Game                                                               21
Adventure Island 3 Game                                                          15
Adventure Island II Game                                                         9
Adventure Island Game, Hudson's                                                  11
Adventures In The Magic Kingdom Game                                             24
Adventures of Bayou Billy Game, The                                              12
Adventures of Dino-Riki Game                                                     16
Adventures of Lolo Game                                                          3
Adventures of Lolo 2 Game                                                        13
Adventures of Lolo 3                                                             1
Adventures of Rocky and Bullwinkle and Friends Game, The                         8
Adventures of Tom Sawyer Game                                                    18
Air Fortress Game                                                                14
Airwolf Game                                                                     9
Alfred Chicken Game                                                              10
Alien Syndrome Game                                                              17
Alpha Mission Game                                                               12
Amagon Game                                                                      9
American Gladiators Game                                                         27
Anticipation Game                                                                3
Arch Rivals Game                                                                 4
Archon Game                                                                      2
Arkanoid Game                                                                    12
Arkista's Ring Game                                                              10
Astyanax Game                                                                    10
Athena Game                                                                      8
Back to the Future Game                                                          7
Back to the Future II & III Game                                                 8
Bad Dudes Game                                                                   7
Bad Street Brawler Game                                                          8
Balloon Fight Game                                                               9
Barbie Game                                                                      5
Baseball Simulator 1000 Game                                                     10
Baseball Stars II Game                                                           25
Bases Loaded 2 Game                                                              7
Bases Loaded 3 Game                                                              10
Bases Loaded 4 Game                                                              9
Batman Game                                                                      8
Batman Returns Game                                                              10
Batman: Return of the Joker Game                                                 15
Battle of Olympus Game                                                           6
Battleship Game                                                                  11
Battletank Game                                                                  12
Battletoads Game                                                                 20
Battletoads and Double Dragon Game                                               11
Bee 52 Game                                                                      7
Beetlejuice Game                                                                 6
Best of the Best Championship Karate Game                                        29
Bigfoot Game                                                                     12
Bignose The Caveman Game                                                         9
Bill & Ted's Excellent Video Game Adventure Game                                 8
Bill Elliott's NASCAR Challenge Game                                             3
Bionic Commando Game                                                             12
Blades of Steel Game                                                             4
Blaster Master Game                                                              10
Blue Marlin Game, The                                                            6
Bomberman 2 Game                                                                 19
Bomberman Game                                                                   22
Bonk's Adventure Game                                                            12
Boulderdash Game                                                                 10
Boy and His Blob Game, A                                                         22
Bram Stoker's Dracula Game                                                       6
BreakTime Game                                                                   4
Breakthru Game                                                                   13
Bubble Bobble Game                                                               14
Bubble Bobble II Game                                                            24
Bucky O'Hare Game                                                                13
Bugs Bunny Birthday Blow Out Game, The                                           7
Bugs Bunny--The Bugs Bunny Crazy Castle Game                                     11
Bump'n'Jump Game                                                                 8
Burai Fighter Game                                                               14
BurgerTime Game                                                                  10
Cabal Game                                                                       10
Captain America and the Avengers Game                                            9
Captain Planet and the Planeteers Game                                           9
Captain Skyhawk Game                                                             11
Casino Kid II Game                                                               8
Castelian Game                                                                   7
Castle of Dragon Game                                                            10
CastleQuest Game                                                                 10
CastleVania Game                                                                 9
CastleVania II: Simon's Quest Game                                               8
Championship Pool Game                                                           6
Chip 'N Dale Game                                                                10
Chip 'N Dale Rescue Rangers 2 Game                                               16
Chubby Cherub Game                                                               12
Circus Caper Game                                                                8
City Connection Game                                                             10
Clash at Demonhead Game                                                          8
Cliffhanger Game                                                                 18
Clu Clu Land Game                                                                10
Cobra Command Game                                                               4
Cobra Triangle Game                                                              6
Code Name: Viper Game                                                            15
Commando Game                                                                    6
Conquest of the Crystal Palace Game                                              7
Contra Force Game                                                                4
Contra Game                                                                      7
Cool World Game                                                                  13
Crystalis Game                                                                   9
Cyberball Game                                                                   10
Cybernoid Game                                                                   15
Danny Sullivan's Indy Heat Game                                                  5
Darkwing Duck Game                                                               7
Dash Galaxy in the Alien Asylum Game                                             18
Days of Thunder Game                                                             6
Deadly Towers Game                                                               5
Defender II Game                                                                 6
Defender of the Crown Game                                                       8
Demon Sword Game                                                                 19
Destination Earthstar Game                                                       5
Destiny of an Emperor Game                                                       11
Dick Tracy Game                                                                  8
Die Hard Game                                                                    25
Dig Dug II: Trouble in Paradise Game                                             7
Digger T. Rock: The Legend of the Lost City Game                                 7
Dirty Harry Game                                                                 7
Donkey Kong 3 Game                                                               9
Donkey Kong Classics Game                                                        14
Donkey Kong Game                                                                 3
Double Dragon Game                                                               8
Double Dragon II: The Revenge Game                                               12
Double Dragon III--The Sacred Stones Game                                        11
Dr. Chaos Game                                                                   10
Dr. Jekyll and Mr. Hyde Game                                                     4
Dr. Mario Game                                                                   9
Dragon Power Game                                                                3
DragonStrike Game                                                                12
Dragon Warrior Game                                                              5
Dragon Warrior II Game                                                           20
Dragon Warrior III Game                                                          43
Dragon Warrior IV Game                                                           109
Dragon's Lair Game                                                               13
Disney's Duck Tales Game                                                         8
DuckTales 2 Game                                                                 12
Dungeon Magic Game                                                               7
Dynowarz--The Destruction of Spondylus Game                                      10
Elevator Action Game                                                             13
Eliminator Boat Duel Game                                                        5
Excitebike Game                                                                  7
F-15 City War Game                                                               6
Fantastic Adventures of Dizzy Game, The                                          8
Fantasy Zone Game                                                                13
Faria Game                                                                       7
Faxanadu Game                                                                    9
Felix the Cat Game                                                               9
Final Fantasy Game                                                               36
Firehawk Game                                                                    4
Fist of the North Star Game                                                      12
Flight of the Intruder Game                                                      8
Flintstones: The Rescue of Dino and Hoppy Game, The                              14
Flintstones--The Surprise at Dinosaur Peak Game, The                             24
Flying Dragon--The Secret Scroll Game                                            6
Formula One: Built to Win Game                                                   5
Fox's Peter Pan and the Pirates Game                                             10
Frankenstein the Monster Returns Game                                            5
Freedom Force Game                                                               10
Friday the 13th Game                                                             8
Fun House Game                                                                   14
G.I. Joe Game                                                                    20
G.I. Joe: The Atlantis Factor Game                                               8
Galaga Demons of Death Game                                                      9
Galaxy 5000 Game                                                                 6
Gauntlet II Game                                                                 12
Ghostbusters Game                                                                7
Ghostbusters II Game                                                             10
Ghosts 'n Goblins Game                                                           8
Gilligan's Island Game                                                           12
Goal Two Game                                                                    8
Godzilla Game                                                                    4
Gold Medal Challenge Game                                                        1
Golf Grand Slam Game                                                             3
Golga 13: The Mafat Conspiracy Game                                              9
Golga 13--Top Secret Episode Game                                                6
Goonies II Game                                                                  13
Gotcha! The Sport! Game                                                          4
Gradius Game                                                                     7
Great Waldo Search Game, The                                                     7
Gremlins 2: The New Batch Game                                                   9
Guardian Legend Game, The                                                        10
Guerilla War Game                                                                4
Gumshoe Game                                                                     11
Gyromite Game                                                                    5
Gyruss Game                                                                      11
Harlem Globetrotters Game                                                        4
Heavy Barrel Game                                                                8
Heavy Shreddin' Game                                                             7
Hillsfar Game                                                                    7
Hogan's Alley Game                                                               4
Home Alone 2 Game                                                                23
Hook Game                                                                        9
Hudson Hawk Game                                                                 13
Hunt for Red October Game, The                                                   20
Hydlide Game                                                                     5
Ice Climber Game                                                                 9
Ikari III: The Rescue Game                                                       9
Ikari Warriors Game                                                              10
Ikari Warriors II: Victory Road Game                                             3
Imagefight Game                                                                  16
Immortal Game, The                                                               7
Indiana Jones and the Last Crusade Game                                          7
Indiana Jones and the Temple of Doom Game                                        12
Infiltrator Game                                                                 11
Iron Tank Game                                                                   5
Isolated Warrior Game                                                            13
Jackal Game                                                                      5
Jackie Chan's Action Kung Fu Game                                                10
James Bond Jr. Game                                                              9
Jaws Game                                                                        6
Jetsons: Cogswell's Caper Game, The                                              12
Jimmy Connors Tennis Game                                                        16
Joe & Mac Game                                                                   21
Journey to Silius Game                                                           18
Joust Game                                                                       6
Jungle Book, The                                                                 17
Jurassic Park Game                                                               7
Kabuki - Quantum Fighter Game                                                    14
Karate Kid Game, The                                                             15
Karnov Game                                                                      15
Kickle Cubicle Game                                                              7
Kickmaster Game                                                                  14
Kid Icarus Game                                                                  3
Kid Klown Game                                                                   7
Kid Kool Game                                                                    6
Kid Niki, Radical Ninja Game                                                     11
King's Knight Game                                                               7
Kirby's Adventure Game                                                           9
Kiwi Kraze Game                                                                  13
KlashBall Game                                                                   9
Klax Game                                                                        7
Knight Rider Game                                                                13
Krion Conquest Game, The                                                         11
Krusty's Fun House Game                                                          8
Kung Fu Game                                                                     11
Kung Fu Heroes Game                                                              17
Last Action Hero Game                                                            22
Last Starfighter Game, The                                                       9
Legacy of the Wizard Game                                                        12
Legend of Kage Game, The                                                         4
Legend of Zelda Game, The                                                        8
Legendary Wings Game                                                             9
Legends of the Diamond Game                                                      6
Lemmings Game                                                                    9
Lethal Weapon Game                                                               13
Life Force Game                                                                  15
Little Mermaid Game, The                                                         16
Little Nemo: The Dream Master Game                                               15
Little Samson Game                                                               12
Lode Runner Game                                                                 6
Lone Ranger Game, The                                                            10
Low G Man Game                                                                   17
M.C. Kids Game                                                                   9
M.U.L.E. Game                                                                    8
M.U.S.C.L.E. Game                                                                6
MIG 29 Soviet Fighter Game                                                       13
Mad Max Game                                                                     13
MagMax Game                                                                      5
Magic of Scheherazade Game, The                                                  10
Mappy Land Game                                                                  8
Marble Madness Game                                                              4
Mario Bros. Game                                                                 10
