1942(tm) Game	'42	1942
1943(tm) Game	'43	1943 - The Battle of Midway
3D Worldrunner(tm) Game	3D	3-D Battles of World Runner, The
720 Degrees(tm) Game	720	720
8 Eyes(tm) Game	EYE	8 Eyes
A Boy and His Blob(tm) Game	BLOB	Boy and His Blob, A - Trouble on Blobolonia
A Nightmare on Elm Street(tm) Game 	ELM	Nightmare on Elm Street, A
Addams Family(tm) Game	SPOOKY	Addams Family, The
Adventure Island 3 (tm) Game	ISL3	Hudson's Adventure Island III
Adventure Island II(tm) Game	ISL2	Hudson's Adventure Island II
Adventures In The Magic Kingdom(tm) Game	MAGIC	Adventures in the Magic Kingdom
Adventures of Dino-Riki(tm) Game	DINO	Adventures of Dino Riki, The
Adventures of Lolo 2(tm) Game	LOLO	Adventures of Lolo 2
Adventures of Lolo 3(tm)	LOLO3	Adventures of Lolo 3
Adventures of Lolo(tm) Game	LOL	Adventures of Lolo
Adventures of Tom Sawyer (tm) Game	TOM	Adventures of Tom Sawyer
Air Fortress(tm) Game	FORT	Air Fortress
Airwolf (tm) Game	WOLF	Airwolf (UE)
Alfred Chicken(tm) Game	CHICK9	Alfred Chicken
Alien Syndrome (tm) Game	SYND	Alien Syndrome
Alpha Mission(tm) Game	ALFA	Alpha Mission
Amagon (tm) Game	AMA	Amagon
American Gladiators (tm) Game	GLAD	American Gladiators
Anticipation (tm) Game	ANTI	Anticipation
Arch Rivals(tm) Game	ARCH	Arch Rivals - A BasketBrawl!
Archon(tm) Game	ARC	Archon
Arkanoid(tm) Game	ARK	Arkanoid
Arkista's Ring (tm) Game	RING	Arkista's Ring
Astyanax(tm) Game	ASTY	Astyanax
Athena(tm) Game	ATH	Athena
Back to the Future II & III(tm) Game	FUTURE	Back to the Future Part II & III
Back to the Future(tm) Game	BACK	Back to the Future
Bad Dudes(tm) Game	BAD	Bad Dudes
Bad Street Brawler (tm) Game	BRAW	Bad Street Brawler
Balloon Fight(tm) Game	LOON	Balloon Fight
Barbie(tm) Game	BARB	Barbie
Baseball Stars II(tm) Game	STARS2	Baseball Stars II
Bases Loaded 4 (tm) Game	BL4	Bases Loaded 4
Batman Returns(tm) Game	BAT	Batman Returns
Batman(tm) Game	BAT	Batman
Batman: Return of the Joker(tm) Game	JOKE	Batman - Return of the Joker
Battle of Olympus(tm) Game	OLY	Battle of Olympus, The
Battleship(tm) Game	WAR 	Battleship
Battletank(tm) Game	BANK	Battle Tank
Battletoads and Double Dragon(tm) Game	BATT	Battletoads & Double Dragon - The Ultimate Team
Battletoads(tm) Game	TOAD	Battletoads
Bee 52(tm) Game	B-52	Bee 52
Beetlejuice(tm) Game	BEET	Beetlejuice
Best of the Best Championship Karate(tm) Game	BEST	Best of the Best - Championship Karate
Bigfoot(tm) Game	FOOT	Bigfoot
Bignose The Caveman(tm) Game	BIG	Big Nose the Caveman
Bill & Ted's Excellent Video Game Adventure(tm) Game	EXX	Bill & Ted's Excellent Video Game Adventure
Bill Elliott's NASCAR Challenge(tm) Game	ELL	Bill Elliott's NASCAR Challenge
Bionic Commando(tm) Game	BIO	Bionic Commando
Blades of Steel(tm) Game	STEEL	Blades of Steel
Blaster Master(tm) Game	MAST	Blaster Master
