'42,1942(tm) Game
'43,1943(tm) Game
3D,3D Worldrunner(tm) Game
720,720 Degrees(tm) Game
EYE,8 Eyes(tm) Game
SPOOKY,Addams Family(tm) Game
ISL2,Adventure Island II(tm) Game
ISL3,Adventure Island 3 (tm) Game
MAGIC,Adventures In The Magic Kingdom(tm) Game
BILL,The Adventures of Bayou Billy(tm) Game
DINO,Adventures of Dino-Riki(tm) Game
LOL,Adventures of Lolo(tm) Game
LOLO,Adventures of Lolo 2(tm) Game
LOLO3,Adventures of Lolo 3(tm)
BULL,The Adventures of Rocky and Bullwinkle and Friends(tm) Game
TOM,Adventures of Tom Sawyer (tm) Game
FORT,Air Fortress(tm) Game
WOLF,Airwolf (tm) Game
CHICK9,Alfred Chicken(tm) Game
SYND,Alien Syndrome (tm) Game
ALFA,Alpha Mission(tm) Game
AMA,Amagon (tm) Game
GLAD,American Gladiators (tm) Game
ANTI,Anticipation (tm) Game
ARCH,Arch Rivals(tm) Game
ARC,Archon(tm) Game
ARK,Arkanoid(tm) Game
RING,Arkista's Ring (tm) Game
ASTY,Astyanax(tm) Game
ATH,Athena(tm) Game
BACK,Back to the Future(tm) Game
FUTURE,Back to the Future II & III(tm) Game
BAD,Bad Dudes(tm) Game
BRAW,Bad Street Brawler (tm) Game
LOON,Balloon Fight(tm) Game
BARB,Barbie(tm) Game
BL4,Bases Loaded 4 (tm) Game
BAT,Batman(tm) Game
JOKE,Batman: Return of the Joker(tm) Game
BAT,Batman Returns(tm) Game
OLY,Battle of Olympus(tm) Game
WAR ,Battleship(tm) Game
BANK,Battletank(tm) Game
TOAD,Battletoads(tm) Game
BATT,Battletoads and Double Dragon(tm) Game
STARS2,Baseball Stars II(tm) Game
B-52,Bee 52(tm) Game
BEET,Beetlejuice(tm) Game
BEST,Best of the Best Championship Karate(tm) Game
FOOT,Bigfoot(tm) Game
BIG,Bignose The Caveman(tm) Game
EXX,Bill & Ted's Excellent Video Game Adventure(tm) Game
ELL,Bill Elliott's NASCAR Challenge(tm) Game
BIO,Bionic Commando(tm) Game
STEEL,Blades of Steel(tm) Game
MAST,Blaster Master(tm) Game
BOMB,Bomberman(tm) Game 
BONK,Bonk's Adventure(tm) Game
BOMB,Bomberman 2(tm) Game
DASH,Boulderdash(tm) Game
BLOB,A Boy and His Blob(tm) Game
BRAM,Bram Stoker's Dracula (tm) Game
THRU,Breakthru(tm) Game
POOL,BreakTime(tm) Game
BUB,Bubble Bobble(tm) Game
BUB,Bubble Bobble II(tm) Game
HARE,Bucky O'Hare(tm) Game
BUGS,The Bugs Bunny(tm) Birthday Blow Out(tm) Game
BUGS,Bugs Bunny(tm)--The Bugs Bunny Crazy Castle(tm) Game
BUMP,Bump'n'Jump(tm) Game
BURA,Burai Fighter(tm) Game
BURG,BurgerTime(tm) Game
CAB,Cabal(tm) Game
PLAN,Captain Planet and the Planeteers(tm) Game
HAWK,Captain Skyhawk (tm) Game
CAS2,Casino Kid II (tm) Game
CAST,Castelian(tm) Game
CAST,Castle of Dragon(tm) Game
QEST,CastleQuest(tm) Game
NOTE: You may notice some extra flicker on the screen. Try pressing ,CastleVania(tm) Game
VAN,CastleVania(tm) II: Simon's Quest(tm) Game
POOL,Championship Pool (tm) Game
CHIP,Chip 'N Dale(tm) Game
CND2,Chip 'N Dale Rescue Rangers 2(tm) Game
CHER,Chubby Cherub (tm) Game
CAPE,Circus Caper(tm) Game
CITY,City Connection (tm) Game
HEAD,Clash at Demonhead(tm) Game
CLIFF,Cliffhanger(tm) Game
CLU,Clu Clu Land(tm) Game
COCO,Cobra Command(tm) Game
TRI,Cobra Triangle(tm) Game
VIPE,Code Name: Viper(tm) Game
COM,Commando(tm) Game
CON,Conquest of the Crystal Palace(tm) Game
CONT,Contra(tm) Game
CON,Contra Force(tm) Game
COOL,Cool World(tm) Game
CRYS,Crystalis(tm) Game
cybe,Cybernoid(tm) Game
DWD,Darkwing Duck(tm) Game
DASH,Dash Galaxy in the Alien Asylum(tm) Game
DAYS,Days of Thunder(tm) Game
DEAD,Deadly Towers(tm) Game
DEF,Defender II(tm) Game
CROW,Defender of the Crown (tm) Game
DEM,Demon Sword(tm) Game
STAR,Destination Earthstar(tm) Game
DEST,Destiny of an Emperor(tm) Game
TRACY,Dick Tracy(tm) Game
DIE,Die Hard(tm) Game
DIG,Dig Dug(tm) II: Trouble in Paradise(tm) Game
DIG,Digger T. Rock: The Legend of the Lost City(tm) Game
HARRY,Dirty Harry(tm) Game
DUCK,Disney's Duck Tales(tm) Game
DK3,Donkey Kong(tm) Game
DK3,Donkey Kong 3(tm) Game
IMPORTANT: CODES FOR DONKEY KONG JR.(tm) ARE ONLY FOR THE ,Donkey Kong Classics(tm) Game
DUB,Double Dragon(tm) Game
DD2,Double Dragon II: The Revenge(tm) Game
DD3,Double Dragon III--The Sacred Stones(tm) Game
CHAOS,Dr. Chaos (tm) Game
HYDE,Dr. Jekyll and Mr. Hyde (tm) Game
DR.,Dr. Mario(tm) Game
DRAG,Dragon Power(tm) Game
WAR,Dragon Warrior(tm) Game
DW2,Dragon Warrior II(tm) Game
MANY OF THESE CODES WILL GIVE DIFFERENT QUANTITIES OF ,Dragon Warrior III(tm) Game
DRAG4,Dragon Warrior IV(tm) Game
DRAG,DragonStrike(tm) Game
LAIR ,Dragon's Lair(tm) Game
TALE,DuckTales 2(tm) Game
MAGIC,Dungeon Magic(tm) Game
DYNO,Dynowarz--The Destruction of Spondylus(tm) Game
ELEV,Elevator Action(tm) Game
EMP,The Empire Strikes Back(tm) Game
BIKE,Excitebike(tm) Game
F-15,F-15 City War(tm) Game
DIZ,The Fantastic Adventures of Dizzy(tm) Game
FAN,Fantasy Zone(tm) Game
FAR,Faria(tm) Game
FAX,Faxanadu(tm) Game
FELI,Felix the Cat(tm) Game
FINAL,Final Fantasy(tm) Game
FIST,Fist of the North Star(tm) Game
INT,Flight of the Intruder(tm) Game
FLINT,The Flintstones: The Rescue of Dino and Hoppy(tm) Game
STONES,The Flintstones--The Surprise at Dinosaur Peak(tm) Game
FLY,Flying Dragon(tm)--The Secret Scroll(tm) Game
BTW,Formula One: Built to Win(tm) Game
PETE ,Fox's Peter Pan and the Pirates(tm) Game
FREE,Freedom Force(tm) Game
13TH,Friday the 13th(tm) Game
FUN,Fun House (tm) Game
G.I.,G.I. Joe(tm) Game
GALA,Galaga(tm) Demons of Death(tm) Game
GAL,Galaxy 5000(tm) Game
GAUNT,Gauntlet II(tm) Game
GB,Ghostbusters(tm) Game
BUST,Ghostbusters(tm) II Game
GOB,Ghosts 'n Goblins(tm) Game
GILL,Gilligan's Island(tm) Game
ZILLA,Godzilla(tm) Game 
MAFAT,Golga 13(tm): The Mafat Conspiracy(tm) Game
GOL,Golga 13(tm)--Top Secret Episode(tm) Game
GOON,Goonies II(tm) Game
GOT,Gotcha!(tm) The Sport!(tm) Game
GRAD,Gradius(tm) Game
SEARCH,The Great Waldo Search(tm) Game
GREM,Gremlins 2: The New Batch(tm) Game
GUARD,The Guardian Legend(tm) Game
WAR,Guerilla War(tm) Game
GUM,Gumshoe(tm) Game
GYRO,Gyromite(tm) Game
