1942(tm) Game	1942
1943(tm) Game	UNKNOWN
3D Worldrunner(tm) Game	UNKNOWN
720 Degrees(tm) Game	UNKNOWN
8 Eyes(tm) Game	8 Eyes
A Boy and His Blob(tm) Game	Boy and His Blob, A - Trouble on Blobolonia
A Nightmare on Elm Street(tm) Game 	Nightmare on Elm Street, A
Addams Family(tm) Game	Addams Family, The
Adventure Island 3 (tm) Game	UNKNOWN
Adventure Island II(tm) Game	UNKNOWN
Adventures In The Magic Kingdom(tm) Game	Adventures in the Magic Kingdom
Adventures of Dino-Riki(tm) Game	Adventures of Dino Riki, The
Adventures of Lolo 2(tm) Game	Adventures of Lolo 2
Adventures of Lolo 3(tm)	Adventures of Lolo 3
Adventures of Lolo(tm) Game	Adventures of Lolo
Adventures of Tom Sawyer (tm) Game	Adventures of Tom Sawyer
Air Fortress(tm) Game	Air Fortress
Airwolf (tm) Game	Airwolf (UE)
Alfred Chicken(tm) Game	Alfred Chicken
Alien Syndrome (tm) Game	Alien Syndrome
Alpha Mission(tm) Game	Alpha Mission
Amagon (tm) Game	Amagon
American Gladiators (tm) Game	American Gladiators
Anticipation (tm) Game	Anticipation
Arch Rivals(tm) Game	Arch Rivals - A BasketBrawl!
Archon(tm) Game	Archon
Arkanoid(tm) Game	Arkanoid
Arkista's Ring (tm) Game	Arkista's Ring
Astyanax(tm) Game	Astyanax
Athena(tm) Game	Athena
Back to the Future II & III(tm) Game	Back to the Future Part II & III
Back to the Future(tm) Game	Back to the Future
Bad Dudes(tm) Game	Bad Dudes
Bad Street Brawler (tm) Game	Bad Street Brawler
Balloon Fight(tm) Game	Balloon Fight
Barbie(tm) Game	Barbie
Baseball Stars II(tm) Game	Baseball Stars II
Bases Loaded 4 (tm) Game	Bases Loaded 4
Batman Returns(tm) Game	Batman Returns
Batman(tm) Game	Batman
Batman: Return of the Joker(tm) Game	Batman - Return of the Joker
Battle of Olympus(tm) Game	Battle of Olympus, The
Battleship(tm) Game	Battleship
Battletank(tm) Game	Battle Tank
Battletoads and Double Dragon(tm) Game	Battletoads & Double Dragon - The Ultimate Team
Battletoads(tm) Game	Battletoads
Bee 52(tm) Game	Bee 52
Beetlejuice(tm) Game	Beetlejuice
Best of the Best Championship Karate(tm) Game	Best of the Best - Championship Karate
Bigfoot(tm) Game	Bigfoot
Bignose The Caveman(tm) Game	Big Nose the Caveman
Bill & Ted's Excellent Video Game Adventure(tm) Game	Bill & Ted's Excellent Video Game Adventure
Bill Elliott's NASCAR Challenge(tm) Game	Bill Elliott's NASCAR Challenge
Bionic Commando(tm) Game	Bionic Commando
Blades of Steel(tm) Game	Blades of Steel
Blaster Master(tm) Game	Blaster Master
Bomberman 2(tm) Game	Bomberman II
Bomberman(tm) Game 	Bomberman
Bonk's Adventure(tm) Game	Bonk's Adventure
Boulderdash(tm) Game	Boulder Dash
Bram Stoker's Dracula (tm) Game	Bram Stoker's Dracula
BreakTime(tm) Game	Break Time - The National Pool Tour
Breakthru(tm) Game	BreakThru
Bubble Bobble II(tm) Game	Bubble Bobble Part 2
Bubble Bobble(tm) Game	Bubble Bobble
Bucky O'Hare(tm) Game	Bucky O'Hare
