69,2,2
65,2,3
75,2,4
6D,3,4
7D,3,4 (+1 if page crossed)
79,3,4 (+1 if page crossed)
61,2,6
71,2,5 (+1 if page crossed)
29,2,2
25,2,3
35,2,4
2D,3,4
3D,3,4 (+1 if page crossed)
39,3,4 (+1 if page crossed)
21,2,6
31,2,5 (+1 if page crossed)
0A,1,2
06,2,5
16,2,6
0E,3,6
1E,3,7
90,2,2 (+1 if branch succeeds
B0,2,2 (+1 if branch succeeds
F0,2,2 (+1 if branch succeeds
24,2,3
2C,3,4
30,2,2 (+1 if branch succeeds
D0,2,2 (+1 if branch succeeds
10,2,2 (+1 if branch succeeds
00,1,7
50,2,2 (+1 if branch succeeds
70,2,2 (+1 if branch succeeds
18,1,2
D8,1,2
58,1,2
B8,1,2
C9,2,2
C5,2,3
D5,2,4
CD,3,4
DD,3,4 (+1 if page crossed)
D9,3,4 (+1 if page crossed)
C1,2,6
D1,2,5 (+1 if page crossed)
E0,2,2
E4,2,3
EC,3,4
C0,2,2
C4,2,3
CC,3,4
C6,2,5
D6,2,6
CE,3,6
DE,3,7
CA,1,2
88,1,2
49,2,2
45,2,3
55,2,4
4D,3,4
5D,3,4 (+1 if page crossed)
59,3,4 (+1 if page crossed)
41,2,6
51,2,5 (+1 if page crossed)
E6,2,5
F6,2,6
EE,3,6
FE,3,7
E8,1,2
C8,1,2
4C,3,3
6C,3,5
20,3,6
A9,2,2
A5,2,3
B5,2,4
AD,3,4
BD,3,4 (+1 if page crossed)
B9,3,4 (+1 if page crossed)
A1,2,6
B1,2,5 (+1 if page crossed)
A2,2,2
A6,2,3
B6,2,4
AE,3,4
BE,3,4 (+1 if page crossed)
A0,2,2
A4,2,3
B4,2,4
AC,3,4
BC,3,4 (+1 if page crossed)
4A,1,2
46,2,5
56,2,6
4E,3,6
5E,3,7
EA,1,2
09,2,2
05,2,3
15,2,4
0D,3,
1D,3,4 (+1 if page crossed)
19,3,4 (+1 if page crossed)
01,2,6
11,2,5 (+1 if page crossed)
48,1,3
08,1,3
68,1,4
28,1,4
2A,1,2
26,2,5
36,2,6
2E,3,6
3E,3,7
6A,1,2
66,2,5
76,2,6
6E,3,6
7E,3,7
40,1,6
60,1,6
E9,2,2
E5,2,3
F5,2,4
ED,3,4
FD,3,4 (+1 if page crossed)
F9,3,4 (+1 if page crossed)
E1,2,6
F1,2,5 (+1 if page crossed)
38,1,2
F8,1,2
78,1,2
85,2,3
95,2,4
8D,3,4
9D,3,5
99,3,5
81,2,6
91,2,6
86,2,3
96,2,4
8E,3,4
84,2,3
94,2,4
8C,3,4
AA,1,2
A8,1,2
BA,1,2
8A,1,2
9A,1,2
98,1,2
